"Main.Compilation"	"Project"	"Company"	"Stage"	"Type"	"Costs"	"Operating.Status"	"AEUB.Status"	"Startup"	"Value"	"Unit.Def"	"Description"	"Descr.Updated"	"Data.Source.Year"	"Data.Source"
"1"	"imperialinvestmentrealty.com 2002"	"Mildred Lake/Aurora"	"Syncrude Canada Ltd."	"Base Operations"	""		"Operating"	"Approved"	1978-07-01	"225000"	"Barrels of bitumen per day"	"Syncrude has been Operating since 1978"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"2"	"imperialinvestmentrealty.com 2002"	"Mildred Lake/Aurora"	"Syncrude Canada Ltd."	"Stage 2"	""	"1e+09"	"Operating"	"Approved"	2001-07-01	"35000"	"Barrels of bitumen per day"	"North Aurora Train 1 - built on budget"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"3"	"imperialinvestmentrealty.com 2002"	"Mildred Lake/Aurora"	"Syncrude Canada Ltd."	"Stage 3"	""	"5e+09"	"Under Development"	"Approved"	2005-07-01	"110000"	"Barrels of bitumen per day"	"Aurora Train 2 and phase 1 expansion of base plant"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"4"	"imperialinvestmentrealty.com 2002"	"Mildred Lake/Aurora"	"Syncrude Canada Ltd."	"Stage 4"	""	"3.7e+09"	"Planning"	"Not Yet Filed"	2008-07-01	"70000"	"Barrels of bitumen per day"	"3rd Aurora train and phase 2 expansion of base plant"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"5"	"imperialinvestmentrealty.com 2002"	"Mildred Lake/Aurora"	"Syncrude Canada Ltd."	"Stage 5"	""	"3e+09"	"Planning"	"Not Yet Filed"	2013-07-01	"120000"	"Barrels of bitumen per day"	"Stage 5 announced by COS.UN on Dec. 5/01"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"6"	"imperialinvestmentrealty.com 2002"	"Base Operations"	"Suncor Energy Inc."	"Base Operations"	""		"Operating"	"Approved"	1967-07-01	"115000"	"Barrels of bitumen per day"	"Suncor has been producing oil sands since 1967"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"7"	"imperialinvestmentrealty.com 2002"	"Base Operations"	"Suncor Energy Inc."	"Millenium"	""	"3.4e+09"	"Under Development"	"Approved"	2001-07-01	"110000"	"Barrels of bitumen per day"	"Expansion of its mining; extraction and upgrading facilties. Total cost 70% & over original budget of $2.0 billion"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"8"	"imperialinvestmentrealty.com 2002"	"Base Operations"	"Suncor Energy Inc."	"Voyageur"	""	"6e+09"	"Planning"	"Public Disclosure Filed"	2010-07-01	"185000"	"Barrels of bitumen per day"	"Upgrader expansion to support 450.000 bbls/d by 2008; expansion to 550.000 bbls/d by 2010. (includes Firebag SAGD production)"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"9"	"imperialinvestmentrealty.com 2002"	"Muskeg River  (Albian)"	"Royal Dutch Shell plc"	"Muskeg River"	""	"5.1e+09"	"Under Development"	"Approved"	2003-07-01	"155000"	"Barrels of bitumen per day"	"Current cost estimate 30% above original $5.1 bln estimate"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"10"	"imperialinvestmentrealty.com 2002"	"Muskeg River  (Albian)"	"Chevron Canada Resources"	"Debottlenecking"	""	"7.5e+08"	"Planning"	"Not Filed"	2005-07-01	"70000"	"Barrels of bitumen per day"	"Project includes upgrader adjacent to Shell Scotford refinery to convert bitumen into VGO and synthetic"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
