"test.value";"Date";"Production";"Plan.2002";"Plan.2012"
"Type = ";"1967-07-01";;0;0
"Type = ";"1978-07-01";;0;0
"Type = ";"1985-07-01";;0;0
"Type = ";"1986-07-01";;0;0
"Type = ";"1987-07-01";;0;0
"Type = ";"1996-07-01";;0;0
"Type = ";"1997-07-01";;0;0
"Type = ";"1998-07-01";;0;0
"Type = ";"1999-07-01";;0;0
"Type = ";"2000-07-01";;0;0
"Type = ";"2001-07-01";;0;0
"Type = ";"2002-07-01";;0;0
"Type = ";"2003-07-01";;0;0
"Type = ";"2004-07-01";;0;0
"Type = ";"2005-07-01";;0;0
"Type = ";"2006-07-01";;0;0
"Type = ";"2007-06-01";;0;0
"Type = ";"2007-07-01";;0;0
"Type = ";"2008-06-01";;0;0
"Type = ";"2008-07-01";;0;0
"Type = ";"2009-06-01";;0;0
"Type = ";"2009-07-01";;0;0
"Type = ";"2010-06-01";;0;0
"Type = ";"2010-07-01";;0;0
"Type = ";"2011-06-01";;0;0
"Type = ";"2011-07-01";;0;0
"Type = ";"2012-06-01";;0;0
"Type = ";"2012-07-01";;0;0
"Type = ";"2013-07-01";;0;0
"Type = ";"2014-07-01";;0;0
"Type = ";"2015-07-01";;0;0
"Type = ";"2016-07-01";;0;0
"Type = ";"2017-07-01";;0;0
"Type = ";"2018-07-01";;0;0
"Type = ";"2019-07-01";;0;0
"Type = ";"2020-07-01";;0;0
"Type = ";"2021-07-01";;0;0
"Type = ";"2022-07-01";;0;0
"Type = ";"2023-07-01";;0;0
"Type = ";"2024-07-01";;0;0
"Type = ";"2025-07-01";;0;0
"Type = ";"2026-07-01";;0;0
"Type = ";"2027-07-01";;0;0
"Type = ";"2030-07-01";;0;0
"Type = SAGD";"1967-07-01";;0;0
"Type = SAGD";"1978-07-01";;0;0
"Type = SAGD";"1985-07-01";;0;0
"Type = SAGD";"1986-07-01";;0;0
"Type = SAGD";"1987-07-01";;0;0
"Type = SAGD";"1996-07-01";;0;0
"Type = SAGD";"1997-07-01";;0;1200
"Type = SAGD";"1998-07-01";;0;1200
"Type = SAGD";"1999-07-01";;0;12200
"Type = SAGD";"2000-07-01";;0;12200
"Type = SAGD";"2001-07-01";;0;36200
"Type = SAGD";"2002-07-01";;0;79200
"Type = SAGD";"2003-07-01";;0;85200
"Type = SAGD";"2004-07-01";;0;122200
"Type = SAGD";"2005-07-01";;0;132200
"Type = SAGD";"2006-07-01";;0;207200
"Type = SAGD";"2007-06-01";;0;207200
"Type = SAGD";"2007-07-01";;0;334200
"Type = SAGD";"2008-06-01";;0;334200
"Type = SAGD";"2008-07-01";;0;418000
"Type = SAGD";"2009-06-01";;0;418000
"Type = SAGD";"2009-07-01";;0;515000
"Type = SAGD";"2010-06-01";;0;515000
"Type = SAGD";"2010-07-01";;0;535000
"Type = SAGD";"2011-06-01";;0;535000
"Type = SAGD";"2011-07-01";;0;690700
"Type = SAGD";"2012-06-01";;0;690700
"Type = SAGD";"2012-07-01";;0;743900
"Type = SAGD";"2013-07-01";;0;965170
"Type = SAGD";"2014-07-01";;0;1144170
"Type = SAGD";"2015-07-01";;0;1526670
"Type = SAGD";"2016-07-01";;0;2029170
"Type = SAGD";"2017-07-01";;0;2229170
"Type = SAGD";"2018-07-01";;0;2641670
"Type = SAGD";"2019-07-01";;0;3009170
"Type = SAGD";"2020-07-01";;0;3184170
"Type = SAGD";"2021-07-01";;0;3274170
"Type = SAGD";"2022-07-01";;0;3404170
"Type = SAGD";"2023-07-01";;0;3464170
"Type = SAGD";"2024-07-01";;0;3514170
"Type = SAGD";"2025-07-01";;0;3554170
"Type = SAGD";"2026-07-01";;0;3554170
"Type = SAGD";"2027-07-01";;0;3554170
"Type = SAGD";"2030-07-01";;0;3554170
"Type = TAGD";"1967-07-01";;0;0
"Type = TAGD";"1978-07-01";;0;0
"Type = TAGD";"1985-07-01";;0;0
"Type = TAGD";"1986-07-01";;0;0
"Type = TAGD";"1987-07-01";;0;0
"Type = TAGD";"1996-07-01";;0;0
"Type = TAGD";"1997-07-01";;0;0
"Type = TAGD";"1998-07-01";;0;0
"Type = TAGD";"1999-07-01";;0;0
"Type = TAGD";"2000-07-01";;0;0
"Type = TAGD";"2001-07-01";;0;0
"Type = TAGD";"2002-07-01";;0;0
"Type = TAGD";"2003-07-01";;0;0
"Type = TAGD";"2004-07-01";;0;0
"Type = TAGD";"2005-07-01";;0;0
"Type = TAGD";"2006-07-01";;0;0
"Type = TAGD";"2007-06-01";;0;0
"Type = TAGD";"2007-07-01";;0;0
"Type = TAGD";"2008-06-01";;0;0
"Type = TAGD";"2008-07-01";;0;0
"Type = TAGD";"2009-06-01";;0;0
"Type = TAGD";"2009-07-01";;0;0
"Type = TAGD";"2010-06-01";;0;0
"Type = TAGD";"2010-07-01";;0;0
"Type = TAGD";"2011-06-01";;0;0
"Type = TAGD";"2011-07-01";;0;0
"Type = TAGD";"2012-06-01";;0;0
"Type = TAGD";"2012-07-01";;0;0
"Type = TAGD";"2013-07-01";;0;0
"Type = TAGD";"2014-07-01";;0;0
"Type = TAGD";"2015-07-01";;0;6000
"Type = TAGD";"2016-07-01";;0;6000
"Type = TAGD";"2017-07-01";;0;6000
"Type = TAGD";"2018-07-01";;0;6000
"Type = TAGD";"2019-07-01";;0;6000
"Type = TAGD";"2020-07-01";;0;6000
"Type = TAGD";"2021-07-01";;0;6000
"Type = TAGD";"2022-07-01";;0;6000
"Type = TAGD";"2023-07-01";;0;6000
"Type = TAGD";"2024-07-01";;0;6000
"Type = TAGD";"2025-07-01";;0;6000
"Type = TAGD";"2026-07-01";;0;6000
"Type = TAGD";"2027-07-01";;0;6000
"Type = TAGD";"2030-07-01";;0;6000
"Type = ET-DSP";"1967-07-01";;0;0
"Type = ET-DSP";"1978-07-01";;0;0
"Type = ET-DSP";"1985-07-01";;0;0
"Type = ET-DSP";"1986-07-01";;0;0
"Type = ET-DSP";"1987-07-01";;0;0
"Type = ET-DSP";"1996-07-01";;0;0
"Type = ET-DSP";"1997-07-01";;0;0
"Type = ET-DSP";"1998-07-01";;0;0
"Type = ET-DSP";"1999-07-01";;0;0
"Type = ET-DSP";"2000-07-01";;0;0
"Type = ET-DSP";"2001-07-01";;0;0
"Type = ET-DSP";"2002-07-01";;0;0
"Type = ET-DSP";"2003-07-01";;0;0
"Type = ET-DSP";"2004-07-01";;0;0
"Type = ET-DSP";"2005-07-01";;0;0
"Type = ET-DSP";"2006-07-01";;0;0
"Type = ET-DSP";"2007-06-01";;0;0
"Type = ET-DSP";"2007-07-01";;0;1000
"Type = ET-DSP";"2008-06-01";;0;1000
"Type = ET-DSP";"2008-07-01";;0;1000
"Type = ET-DSP";"2009-06-01";;0;1000
"Type = ET-DSP";"2009-07-01";;0;1000
"Type = ET-DSP";"2010-06-01";;0;1000
"Type = ET-DSP";"2010-07-01";;0;1000
"Type = ET-DSP";"2011-06-01";;0;1000
"Type = ET-DSP";"2011-07-01";;0;1000
"Type = ET-DSP";"2012-06-01";;0;1000
