Source: Canadian Oil Sands Supply Costs and Development Projects (2010-­2044), p 40
Units: Thousand barrels per day

Announced + Awaiting Approval + Suspended + Approved + Under Construction + Onstream 
---
2043.9775899074302,5073.846153846154
2042.648516425002,5073.846153846153
2041.523810928156,5064.615384615387
2040.5012369951667,5046.153846153846
2039.9901597444089,5055.384615384615
2039.0698222331448,5036.923076923077
2038.2517211436061,5018.46153846154
2037.5019873842878,5018.461538461537
2036.2748357499795,4990.7692307692305
2034.8082936020317,4889.2307692307695
2033.5469583026133,4852.3076923076915
2034.2285344474483,4852.3076923076915
2035.4903940362087,4935.384615384615
2032.9676185795036,4852.307692307693
2032.388069140657,4833.846153846154
2031.6380208077333,4806.153846153846
2031.0925501761285,4787.692307692307
2030.4107643155567,4769.23076923077
2029.7628475464896,4732.307692307693
2029.1486950110593,4667.6923076923085
2028.5344376177602,4593.846153846154
2027.8855771278775,4473.846153846154
2027.4415040550505,4381.538461538463
2026.9977455558287,4316.923076923076
2026.383278446793,4224.615384615385
2025.9050217088557,4123.076923076923
2025.562975342017,4012.3076923076924
2025.1529810764316,3920
2024.7767510444826,3800
2024.3317342508396,3624.6153846153848
2023.5802179077577,3467.692307692308
2022.9654362251167,3347.6923076923076
2022.3506545424757,3227.6923076923076
2021.804030474318,3107.6923076923076
2021.1214057507987,3015.3846153846152
2020.5068337838945,2913.846153846154
2019.8578684361432,2784.6153846153843
2019.2436110428443,2710.769230769231
2018.3555697550585,2535.3846153846152
2017.9113918243631,2433.846153846154
2017.2626361923487,2323.0769230769233
2016.5457229458507,2212.3076923076924
2015.7951503235847,2138.461538461538
2014.908052756615,2046.1538461538462
2013.680901122307,2018.4615384615386
2012.8289309412633,2018.4615384615386
2012.2147784058327,1953.8461538461538
2011.6352289669862,1935.3846153846155
2011.0900729089867,1944.6153846153845
2010.5442877037765,1898.4615384615386
2009.9986073564348,1861.5384615384614
2036.956516752683,5000.000000000002
2042.0350978946506,5073.846153846154
2043.330092569837,5073.846153846154
---
Awaiting Approval + Suspended + Approved + Under Construction + Onstream 
---
2043.8670697140985,4344.615384615384
2042.9469419185714,4344.615384615385
2041.9244728434505,4335.384615384615
2040.9702662406817,4335.384615384616
2039.4026411075613,4335.384615384615
2037.937252396166,4335.384615384615
2036.5400212992545,4335.384615384616
2035.619998361596,4344.615384615384
2034.5295813877283,4353.846153846153
2033.7460833947734,4381.538461538461
2032.82637503072,4418.461538461539
2031.9405357581716,4436.923076923078
2030.7141181289423,4473.846153846153
2030.0667256492177,4483.076923076924
2028.9420201523717,4473.846153846154
2028.3620512820512,4418.461538461539
2027.4064815269928,4298.461538461539
2026.8603817481774,4224.615384615385
2026.2800983042516,4141.538461538461
2025.801946424183,4049.230769230769
2025.323060539035,3892.3076923076924
2024.6394920946998,3716.923076923077
2024.2635766363562,3624.6153846153848
2023.8193987056607,3523.076923076923
2023.2728794953714,3412.3076923076924
2022.7605439501924,3310.7692307692314
2022.3844187761122,3200
2021.7015843368558,3089.230769230769
2021.1895633652823,3015.3846153846157
2020.6775423937086,2941.538461538462
2020.1994953715082,2858.4615384615386
2019.619316785451,2784.6153846153843
2019.1751388547555,2683.076923076923
2018.8336167772588,2618.4615384615386
2018.287412140575,2535.3846153846152
2017.8431293520111,2424.6153846153843
2017.262741050217,2332.3076923076924
2016.9552977799624,2267.6923076923076
2016.2385942492012,2175.3846153846157
2015.6244417137707,2110.769230769231
2014.9762103710987,2046.1538461538462
2014.1578995658228,2009.2307692307693
2013.2037978209223,2018.4615384615386
