CANADIAN SYNTHETIC & BITUMEN PRODUCTION	
1967 - 2011				
Source: http://www.capp.ca/library/statistics/handbook/pages/statisticalTables.aspx?sectionNo=3			
Thousand Cubic Metres per year								
--- (Table starts after this line indicated by "---")
Year;Mined Synthetic Crude;Mined Bitumen;In-situ Synthetic Crude; In-Situ Experimental and Crude Bitumen

1967;72;;;42
1968;823;;;64
1969;1603;;;69
1970;1904;;;38
1971;2451;;;15
1972;2963;;;71
1973;2906;;;71
1974;2654;;;73
1975;2506;;;199
1976;2810;;;440
1977;2641;;;486
1978;3262;;;453
1979;5288;;;581
1980;7451;;;556
1981;6278;;;753
1982;6000;;;1281
1983;8639;;;1455
1984;7782;;;1943
1985;9569;;;3030
1986;10728;;;5410
1987;10472;;;6731
1988;11643;;;7546
1989;11901;;;7474
1990;12091;;;7856
1991;13121;;;7113
1992;13778;;;7362
1993;14123;;;7685
1994;15190;;;7810
1995;16197;;;8621
1996;16317;;;9505
1997;16798;;;13806
1998;17871;;;16364
1999;18767;;;14171
2000;18608;;;16781
2001;20239;;;17954
2002;25599;;;17560
2003;24860;4992;;20261
2004;26900;8460;;21706
2005;22228;9771;;24341
2006;29249;8954;;26697
2007;31611;8732;;28963
2008;30492;7831;;31767
2009;36112;8097;274;33259
2010;37656;7707;1284;37515
2011;35996;12181;1749;42593
Total;616149;76723;3307;458472
