Plan.Id;Project;Company.ID;Company.Name;Combined.Name;Attributed.Project;Stage;Costs;Status;AEUB Status;Startup;Production;CumProduction;Upgrader;Description
1;Syncrude;51;Syncrude Canada Ltd.;Syncrude - Syncrude Canada Ltd.;101;Base Operations;;Operating;Approved;1978-07-01T00:00:00Z;225000;225000;Yes;Syncrude has been Operating since 1978
2;Syncrude;51;Syncrude Canada Ltd.;Syncrude - Syncrude Canada Ltd.;101;Stage 2;1000000000;Operating;Approved;2001-07-01T00:00:00Z;35000;260000;Yes;North Aurora Train 1 - built on budget
3;Syncrude;51;Syncrude Canada Ltd.;Syncrude - Syncrude Canada Ltd.;101;Stage 3;5000000000;Under Development;Approved;2005-07-01T00:00:00Z;110000;370000;Yes;Aurora Train 2 and phase 1 expansion of base plant
4;Syncrude;51;Syncrude Canada Ltd.;Syncrude - Syncrude Canada Ltd.;101;Stage 4;3700000000;Planning;Not Yet Filed;2008-07-01T00:00:00Z;70000;440000;Yes;3rd Aurora train and phase 2 expansion of base plant
5;Syncrude;51;Syncrude Canada Ltd.;Syncrude - Syncrude Canada Ltd.;101;Stage 5;3000000000;Planning;Not Yet Filed;2013-07-01T00:00:00Z;120000;560000;Yes;Stage 5 announced by COS.UN on Dec. 5/01
6;Suncor;48;Suncor Energy Inc.;Suncor - Suncor Energy Inc.;96;Base Operations;;Operating;Approved;1967-07-01T00:00:00Z;115000;115000;Yes;Suncor has been producing oil sands since 1967
7;Suncor;48;Suncor Energy Inc.;Suncor - Suncor Energy Inc.;96;Millenium;3400000000;Under Development;Approved;2001-07-01T00:00:00Z;110000;225000;Yes;"Expansion of its mining; extraction and upgrading facilties. Total cost 70% & over original budget of $2.0 billion"
8;Suncor;48;Suncor Energy Inc.;Suncor - Suncor Energy Inc.;96;Voyageur;6000000000;Planning;Public Disclosure Filed;2010-07-01T00:00:00Z;185000;410000;Yes;"Upgrader expansion to support 450.000 bbls/d by 2008; expansion to 550.000 bbls/d by 2010. (includes Firebag SAGD production)"
9;Muskeg River  (Albian);43;Royal Dutch Shell plc;Muskeg River  (Albian) - Royal Dutch Shell plc;75;Muskeg River;5100000000;Under Development;Approved;2003-07-01T00:00:00Z;155000;155000;Yes;Current cost estimate 30% above original $5.1 bln estimate
10;Muskeg River  (Albian);13;Chevron Canada Resources;Muskeg River  (Albian) - Chevron Canada Resources;74;Debottlenecking;750000000;Planning;Not Filed;2005-07-01T00:00:00Z;70000;225000;Yes;Project includes upgrader adjacent to Shell Scotford refinery to convert bitumen into VGO and synthetic
11;Muskeg River  (Albian);58;Western Oil Sands;Muskeg River  (Albian) - Western Oil Sands;76;Expansion;7000000000;Planning;Under Review;2010-07-01T00:00:00Z;300000;525000;Yes;Expansion involves the development of the Jackpine lease
12;Fort Hills;55;True North Energy;Fort Hills - True North Energy;27;Stage 1;2000000000;Under Development;Under Review;2005-07-01T00:00:00Z;95000;95000;No;True North is a wholly-owned subsidiary of Koch Industries
