Oil Sands Technology Roadmap 
Alberta Chamber of Resources, January 2004
Source: Oil sands technology roadmap - unlocking the potential.
Extracted from Soderberghs presentation
Unit: Thousand barrels of bitumen per day
---
2005.0064267352186,1143.9606741573036
2005.2377892030847,1173.4550561797755
2005.469151670951,1202.247191011236
2005.7005141388174,1234.550561797753
2005.9318766066838,1262.6404494382018
2006.1632390745501,1290.7303370786517
2006.3946015424165,1319.8735955056184
2006.6259640102828,1343.3988764044943
2006.8573264781492,1372.1910112359549
2007.0886889460155,1400.983146067416
2007.3200514138819,1429.7752808988764
2007.551413881748,1459.2696629213483
2007.7827763496143,1489.4662921348317
2008.0141388174807,1518.9606741573036
2008.245501285347,1550.5617977528093
2008.4768637532134,1580.758426966292
2008.7082262210797,1609.5505617977533
2008.939588688946,1636.9382022471914
2009.1709511568124,1664.3258426966297
2009.4023136246788,1691.713483146068
2009.6336760925449,1719.1011235955061
2009.8650385604112,1747.8932584269664
2010.0964010282776,1777.387640449438
2010.327763496144,1811.0955056179773
2010.5591259640103,1839.1853932584272
2010.7904884318766,1867.9775280898878
2011.021850899743,1896.0674157303374
2011.2532133676093,1926.9662921348315
2011.4983474109438,1956.4606741573034
2011.7021667278736,1988.2423756019266
2011.9473007712081,2012.6404494382027
2012.4100257069408,2085.6741573033705
2012.6413881748072,2127.106741573034
2012.8727506426735,2167.134831460674
2013.1041131105399,2207.865168539326
2013.3354755784062,2246.488764044944
2013.5668380462726,2285.8146067415732
2013.798200514139,2325.1404494382023
2014.0295629820052,2363.061797752809
2014.2609254498714,2399.578651685393
2014.4922879177377,2437.5
2014.723650385604,2474.0168539325846
2014.9550128534704,2512.6404494382023
2015.1863753213368,2550.561797752809
2015.417737789203,2591.2921348314603
2015.6491002570694,2632.724719101124
2015.8804627249358,2673.455056179775
2016.1118251928021,2710.674157303371
2016.3431876606685,2746.4887640449438
2016.5745501285346,2784.410112359551
2016.805912596401,2820.9269662921347
2017.0372750642673,2857.4438202247193
2017.2686375321337,2897.47191011236
2017.5,2936.0955056179773
2017.7313624678663,2976.825842696629
2017.9627249357327,3014.747191011236
2018.194087403599,3051.685393258427
2018.4254498714654,3093.398876404495
2018.6568123393315,3132.7247191011234
2018.8881748071979,3171.3483146067424
2019.1195372750642,3209.9719101123596
2019.3508997429306,3247.8932584269664
2019.582262210797,3288.623595505618
2019.8136246786632,3325.1404494382027
2020.0449871465296,3365.168539325843
2020.276349614396,3403.792134831461
2020.5077120822623,3441.7134831460676
2020.7390745501286,3481.7415730337084
2020.9704370179948,3521.0674157303374
2021.201799485861,3556.882022471911
2021.4331619537274,3592.696629213484
2021.6645244215938,3630.6179775280903
2021.8958868894601,3666.432584269664
2022.1272493573265,3704.3539325842703
2022.3586118251928,3745.786516853933
2022.5899742930592,3784.4101123595515
2022.8213367609255,3824.4382022471914
2023.0526992287919,3860.955056179775
2023.284061696658,3903.7921348314608
2023.5154241645243,3945.2247191011234
2023.7495409474843,3985.4333868378817
2023.978149100257,4024.578651685393
2024.2182752979668,4041.062308478039
2024.4408740359897,4099.7191011235955
2024.672236503856,4136.23595505618
2024.9035989717224,4173.455056179775
2025.1349614395888,4210.6741573033705
2025.366323907455,4250
2025.5976863753212,4290.02808988764
2025.8290488431876,4329.35393258427
2026.060411311054,4366.573033707866
2026.2917737789203,4404.494382022473
2026.5231362467866,4441.011235955056
2026.754498714653,4477.528089887641
2026.9858611825193,4515.449438202247
2027.2172236503857,4554.775280898877
2027.448586118252,4595.505617977527
2027.6799485861181,4636.938202247191
2027.9113110539845,4678.370786516854
2028.1426735218508,4717.696629213483
2028.3740359897172,4755.617977528089
2028.6053984575835,4795.64606741573
2028.8367609254499,4833.5674157303365
2029.0681233933162,4871.488764044943
2029.2994858611826,4908.707865168539
2029.530848329049,4944.522471910113
2029.7622107969153,4978.581460674157
2029.9550128534704,5012.289325842697
