"Project"	"Company"	"Stage"	"Stage.Nr"	"Operating.Status"	"Startup"
"Advanced TriStar"	"Value Creation Inc."	"ATS-1"	"1"	""	2016-07-01
"Advanced TriStar"	"Value Creation Inc."	"ATS-2"	"2"	""	2019-07-01
"Advanced TriStar"	"Value Creation Inc."	"ATS-3"	"3"	""	2022-07-01
"Algar"	"Connacher Oil And Gas Limited"	"Pod 2"	"1"	""	2010-07-01
"Algar Lake"	"Grizzly Oil Sands Ulc"	"Phase 1"	"1"	""	2013-07-01
"Algar Lake"	"Grizzly Oil Sands Ulc"	"Phase 2"	"2"	""	2014-07-01
"Aspen"	"Imperial Oil Limited"	"Phase 1"	"1"	""	
"Audet"	"SilverWillow Energy Corporation"	"Pilot"	"1"	""	2016-07-01
"Axe Lake"	"Oilsands Quest Inc."	"Reservoir Test"	"1"	""	2008-07-01
"Axe Lake"	"Oilsands Quest Inc."	"Commercial"	"3"	""	
"Axe Lake"	"Oilsands Quest Inc."	"SAGD Pilot"	"2"	""	
"Base Operations"	"Suncor Energy Inc."	"Base Operations"	"1"	"Operating"	1967-07-01
"Base Operations"	"Suncor Energy Inc."	"Millennium Mine"	"2"	""	1967-07-01
"Base Operations"	"Suncor Energy Inc."	"Millenium"	"3"	"Under Development"	2001-07-01
"Base Operations"	"Suncor Energy Inc."	"Steepbank Debottleneck Phase 3"	"4"	""	2007-07-01
"Base Operations"	"Suncor Energy Inc."	"Millennium Debottlenecking"	"5"	""	2008-07-01
"Base Operations"	"Suncor Energy Inc."	"Voyageur"	"6"	"Planning"	2010-07-01
"Base Operations"	"Suncor Energy Inc."	"North Steepbank Extension"	"7"	""	2012-07-01
"Birch"	"Athabasca Oil Corporation"	"Phase 1"	"1"	""	
"Birch Mountain"	"Canadian Natural Resources Limited"	"Phase 1"	"1"	""	2019-07-01
"Birch Mountain"	"Canadian Natural Resources Limited"	"Phase 2"	"2"	""	2023-07-01
"Birchwood"	"Marathon Oil Corporation"	"Demonstration"	"1"	""	2016-07-01
"BlackGold"	"Harvest Operations Corp."	"Phase 1"	"1"	""	2014-07-01
"BlackGold"	"Harvest Operations Corp."	"Phase 2"	"2"	""	
"Blackrod"	"BlackPearl Resources Inc."	"Pilot"	"1"	""	2011-07-01
"Blackrod"	"BlackPearl Resources Inc."	"Phase 1"	"2"	""	2015-07-01
"Blackrod"	"BlackPearl Resources Inc."	"Phase 2"	"3"	""	2018-07-01
"Blackrod"	"BlackPearl Resources Inc."	"Phase 3"	"4"	""	2021-07-01
"Caribou"	"Husky Energy Inc."	"Demonstration"	"1"	""	
"Chard"	"Suncor Energy Inc."	"Phase 1"	"1"	""	
"Christina Lake"	"Cenovus Energy Inc."	"Phase 1A"	"1"	""	2002-07-01
"Christina Lake"	"Cenovus Energy Inc."	"Phase 1B"	"2"	""	2008-07-01
"Christina Lake"	"Cenovus Energy Inc."	"Phase C"	"3"	""	2011-07-01
"Christina Lake"	"Cenovus Energy Inc."	"Phase D"	"4"	""	2012-07-01
"Christina Lake"	"Cenovus Energy Inc."	"Phase E"	"5"	""	2013-07-01
"Christina Lake"	"Cenovus Energy Inc."	"Phase F"	"6"	""	2016-07-01
"Christina Lake"	"Cenovus Energy Inc."	"Phase G"	"7"	""	2017-07-01
"Christina Lake"	"Cenovus Energy Inc."	"Phase H"	"8"	""	2019-07-01
"Christina Lake"	"MEG Energy Corporation"	"Phase 1 Pilot"	"1"	""	2008-07-01
"Christina Lake"	"MEG Energy Corporation"	"Phase 2A"	"2"	""	2009-07-01
"Christina Lake"	"MEG Energy Corporation"	"Phase 2B"	"3"	""	2013-07-01
"Christina Lake"	"MEG Energy Corporation"	"Phase 3A"	"4"	""	2016-07-01
"Christina Lake"	"MEG Energy Corporation"	"Phase 3B"	"5"	""	2018-07-01
"Christina Lake"	"MEG Energy Corporation"	"Phase 3C"	"6"	""	2020-07-01
"Christina Lake"	"PanCanadian"	"Initial"	"1"	"Under Development"	2002-07-01
"Christina Lake"	"PanCanadian"	"Expansion"	"2"	"Planning"	2008-07-01
"Clearwater West"	"Alberta Oilsands Inc."	"Phase 2"	"1"	""	2016-07-01
"Clearwater West"	"Alberta Oilsands Inc."	"Phase 1 Pilot"	"2"	""	
"Cold Lake"	"Imperial Oil Limited"	"Phases 1-10"	"1"	"Operating"	1985-07-01
"Cold Lake"	"Imperial Oil Limited"	"Phase 1-10"	"2"	""	1985-07-01
"Cold Lake"	"Imperial Oil Limited"	"Phase 11-13"	"3"	""	2002-07-01
"Cold Lake"	"Imperial Oil Limited"	"Phases 11-13"	"4"	"Under Development"	2003-07-01
"Cold Lake"	"Imperial Oil Limited"	"Phases 14-16"	"5"	"Under Development"	2007-07-01
"Cold Lake"	"Imperial Oil Limited"	"Phase 14-16"	"6"	""	2014-07-01
"Dawson"	"Petrobank Energy And Resources Ltd."	"Experimental THAI Demonstration"	"1"	""	2013-07-01
"Dawson"	"Petrobank Energy And Resources Ltd."	"Phase 2"	"2"	""	
"Dover"	"Dover Operating Corp."	"Dover North Phase 1"	"1"	""	2016-07-01
"Dover"	"Dover Operating Corp."	"Dover North Phase 2"	"2"	""	2018-07-01
"Dover"	"Dover Operating Corp."	"Dover South Phase 3"	"3"	""	2020-07-01
"Dover"	"Dover Operating Corp."	"Dover South Phase 2"	"4"	""	2022-07-01
"Dover"	"Dover Operating Corp."	"Dover South Phase 4"	"5"	""	2022-07-01
"Dover"	"Dover Operating Corp."	"Dover South Phase 5"	"6"	""	2024-07-01
"Dover"	"N-SOLV Corporation"	"Demonstration Plant"	"1"	""	2012-07-01
"Dover West Carbonates (Leduc)"	"Athabasca Oil Corporation"	"Phase 1 Demonstration"	"1"	""	2015-07-01
"Dover West Carbonates (Leduc)"	"Athabasca Oil Corporation"	"Phase 2 Demonstration"	"2"	""	
"Dover West Sands & Clastics"	"Athabasca Oil Corporation"	"Phase 1"	"1"	""	2015-07-01
"Dover West Sands & Clastics"	"Athabasca Oil Corporation"	"Phase 2"	"2"	""	2018-07-01
"Dover West Sands & Clastics"	"Athabasca Oil Corporation"	"Phase 3"	"3"	""	2020-07-01
"East McMurray"	"Cenovus Energy Inc."	"Phase 1"	"1"	""	
"Ells River"	"Chevron Canada Resources"	"Commercial"	"1"	""	2015-07-01
"Firebag"	"Suncor Energy Inc."	"Stage 1"	"1"	""	2004-07-01
"Firebag"	"Suncor Energy Inc."	"Initial"	"2"	"Under Development"	2005-07-01
"Firebag"	"Suncor Energy Inc."	"Stage 2"	"3"	""	2006-07-01
"Firebag"	"Suncor Energy Inc."	"Cogeneration and Expansion"	"4"	""	2007-07-01
"Firebag"	"Suncor Energy Inc."	"Expansion"	"5"	"Planning"	2008-07-01
"Firebag"	"Suncor Energy Inc."	"Stage 3"	"6"	""	2011-07-01
"Firebag"	"Suncor Energy Inc."	"Stage 4"	"7"	""	2013-07-01
"Firebag"	"Suncor Energy Inc."	"Stage 5"	"8"	""	2018-07-01
"Firebag"	"Suncor Energy Inc."	"Stage 6"	"9"	""	2019-07-01
"Firebag"	"Suncor Energy Inc."	"Stage 3-6 Debottleneck"	"10"	""	
"Fort Hills"	"Suncor Energy Inc."	"Phase 1"	"1"	""	2016-07-01
"Fort Hills"	"Suncor Energy Inc."	"Debottleneck"	"2"	""	
"Fort Hills"	"True North Energy"	"Stage 1"	"1"	"Under Development"	2005-07-01
"Fort Hills"	"UTS Energy"	"Stage 2"	"1"	"Planning"	2008-07-01
"Foster Creek"	"Alberta Energy Co."	"Phase 1"	"1"	"Operating"	2001-07-01
"Foster Creek"	"Alberta Energy Co."	"Debottleneck"	"2"	"Planning"	2003-07-01
"Foster Creek"	"Alberta Energy Co."	"Phase 2"	"3"	"Planning"	2005-07-01
"Foster Creek"	"Alberta Energy Co."	"Phase 3"	"4"	"Planning"	2007-07-01
"Foster Creek"	"Cenovus Energy Inc."	"Phase A"	"1"	""	2001-07-01
"Foster Creek"	"Cenovus Energy Inc."	"Phase B Debottleneck"	"2"	""	2003-07-01
"Foster Creek"	"Cenovus Energy Inc."	"Phase C Stage 1"	"3"	""	2005-07-01
"Foster Creek"	"Cenovus Energy Inc."	"Phase C Stage 2"	"4"	""	2007-07-01
"Foster Creek"	"Cenovus Energy Inc."	"Phase D"	"5"	""	2009-07-01
"Foster Creek"	"Cenovus Energy Inc."	"Phase E"	"6"	""	2009-07-01
"Foster Creek"	"Cenovus Energy Inc."	"Phase F"	"7"	""	2014-07-01
"Foster Creek"	"Cenovus Energy Inc."	"Phase G"	"8"	""	2015-07-01
"Foster Creek"	"Cenovus Energy Inc."	"Phase H"	"9"	""	2016-07-01
