"Main.Project.Name";"Synonym.Project.Name";"Project.Type";"Main.Company.Name";"Synonym.Company.Name";"Company.Type"
"Advanced TriStar";"Advanced TriStar";"Project";"Alberta Energy Co.";"Alberta Energy Co.";"Company"
"Algar";"Algar";"Project";"Alberta Oilsands Inc.";"Alberta Oilsands Inc.";"Company"
"Algar";"Algar Lake";"Project";"Albian Sands";"Albian Sands";"Company"
"Aspen";"Aspen";"Project";"Anadarko Petroleum Corporation";"Anadarko";"Company"
"Audet";"Audet";"Project";"Andora Energy Corporation";"Andora Energy Corporation";"Company"
"Aurora North";"Aurora North";"Project";"Athabasca Oil Corporation";"Athabasca Oil Corporation";"Company"
"Axe Lake";"Axe Lake";"Project";"Baytex Energy Ltd.";"Baytex Energy Ltd.";"Company"
"Base Operations";"Base Operations";"Project";"Birchwood Resources Inc.";"Birchwood Resources Inc.";"Company"
"Birch";"Birch";"Project";"BlackPearl Resources Inc.";"BlackPearl Resources Inc.";"Company"
"Birch";"Birch Mountain";"Project";"BlackRock Ventures";"Blackrock Ventures";"Company"
"Birchwood";"Birchwood";"Project";"British Petroleum";"BP p.l.c.";"Company"
"BlackGold";"BlackGold";"Project";"Canadian Natural Resources Limited";"Canadian Natural";"Company"
"Blackrod";"Blackrod";"Project";"Canadian Natural Resources Limited";"Canadian Natural Resources Limited";"Company"
"Blackrod";"Blackrod Pilot";"Project";"Cavalier Energy Inc.";"Cavalier Energy Inc.";"Company"
"Caribou";"Caribou";"Project";"Cenovus Energy";"Cenovus";"Company"
"Chard";"Chard";"Project";"Cenovus Energy";"Cenovus Energy";"Company"
"Christina Lake";"Christina Lake";"Project";"Cenovus Energy";"Cenovus Energy Inc.";"Company"
"Christina Lake";"Christina Lake Phase 1 Pilot";"Project";"Chevron Canada Resources";"Chevron Canada Resources";"Company"
"Christina Lake";"Christina Lake Phase 2A";"Project";"Connacher Oil and Gas";"Connacher Oil and Gas";"Company"
"Christina Lake";"Christina Lake Regional Project";"Project";"Connacher Oil and Gas";"Connacher Oil And Gas Limited";"Company"
"Clearwater West";"Clearwater West";"Project";"ConocoPhillips Canada Limited";"ConocoPhillips Canada Limited";"Company"
"Cliffdale Pilot";"Cliffdale Pilot";"Project";"ConocoPhillips Canada Limited";"ConocoPhillips Canada Resources Limited";"Company"
"Cold Lake";"Cold Lake";"Project";"Deer Creek";"Deer Creek";"Company"
"Cold Lake";"Cold Lake Operations";"Project";"Devon Canada Corporation";"Devon Canada Corporation";"Company"
"Dawson";"Dawson";"Project";"Dover Operating Corp.";"Dover Operating Corp.";"Company"
"Dover";"Dover";"Project";"E-T Energy Ltd.";"E-T Energy Ltd.";"Company"
"Dover West";"Dover West Carbonates (Leduc)";"Project";"Grizzly Oil Sands Ulc";"Grizzly Oil Sands Ulc";"Company"
"Dover West";"Dover West Sands & Clastics";"Project";"Harvest Energy Trust";"Harvest Operations Corp.";"Company"
"East McMurray";"East McMurray";"Project";"Husky Energy";"Husky Energy";"Company"
"Ells River";"Ells River";"Project";"Husky Energy";"Husky Energy Inc.";"Company"
"Firebag";"Firebag";"Project";"Imperial Oil Resources Ltd";"Imperial";"Company"
"Fort Hills";"Fort Hills";"Project";"Imperial Oil Resources Ltd";"Imperial Oil Limited";"Company"
"Foster Creek";"Foster Creek";"Project";"Ivanhoe Energy, Inc.";"Ivanhoe Energy Inc.";"Company"
"Frontier";"Frontier";"Project";"JACOS";"JACOS";"Company"
"Gemini";"Gemini";"Project";"JACOS";"Japan Canada Oil Sands Limited";"Company"
"Germain";"Germain";"Project";"Koch Exploration Canada Corporation";"Koch Exploration Canada Corporation";"Company"
"Great Divide";"Great Divide";"Project";"Laricina Energy Ltd.";"Laricina Energy Ltd.";"Company"
"Great Divide";"Great Divide: Algar";"Project";"Marathon Oil";"Marathon Oil Corporation";"Company"
"Great Divide";"Great Divide: Pilot";"Project";"MEG Energy Corporation";"MEG Energy Corp.";"Company"
"Gregoire Lake";"Gregoire Lake";"Project";"MEG Energy Corporation";"MEG Energy Corporation";"Company"
"Grouse";"Grouse";"Project";"N-SOLV Corporation";"N-SOLV Corporation";"Company"
"Hangingstone";"Hangingstone";"Project";"Nexen";"Nexen";"Company"
"Hangingstone";"Hangingstone Pilot";"Project";"Nexen";"Nexen Inc.";"Company"
"Harper";"Harper";"Project";"Northern Alberta Oil Ltd";"Northern Alberta Oil Ltd.";"Company"
"Hoole";"Hoole";"Project";"Oak Point Energy Ltd.";"Oak Point Energy Ltd.";"Company"
"Horizon";"Horizon";"Project";"Oilsands Quest Inc";"Oilsands Quest Inc.";"Company"
"Jackfish";"Jackfish";"Project";"OPTI Canada";"OPTI Canada";"Company"
"Jackpine";"Jackpine";"Project";"OSUM Oil Sands Corp.";"OSUM Oil Sands Corp.";"Company"
"Jackpine";"Jackpine Mine";"Project";"PanCanadian";"PanCanadian";"Company"
